time,row,col,demand
25,4,7,6
532,3,3,49
185,2,6,27
134,4,2,0
618,3,7,36
53,0,0,0
545,3,1,25
142,4,1,17
101,4,1,0
459,3,2,13
453,3,7,53
181,3,0,0
722,5,6,921
268,7,6,5
571,0,6,194
703,4,6,225
85,3,5,547
475,0,2,21
59,7,2,0
393,5,1,0
573,3,7,74
56,4,6,0
224,4,0,0
688,1,2,342
474,7,6,27
85,2,1,0
360,3,7,50
69,7,1,0
115,4,3,50
498,5,2,0
725,0,6,3031
570,1,6,177
620,4,7,64
396,7,2,0
412,4,6,113
236,1,0,8
199,5,7,0
700,3,4,303
724,4,0,0
50,1,4,19
458,5,6,27
85,2,3,168
279,1,7,32
553,4,4,84
644,2,5,78
188,2,7,27
4,4,7,0
102,3,6,0
245,3,4,0
450,3,0,13
80,0,7,12
126,6,6,0
150,5,0,0
43,7,0,0
337,4,3,44
395,1,4,0
704,1,3,125
236,2,2,21
441,3,5,0
536,6,3,0
218,1,3,42
407,2,3,202
115,1,5,93
516,3,4,61
424,3,4,87
534,2,3,31
289,1,7,30
607,3,7,18
366,7,0,0
408,5,5,113
7,1,3,0
142,7,7,4
382,6,6,131
185,3,7,19
219,3,4,29
478,5,0,0
693,2,6,247
450,2,6,86
114,3,0,4
724,1,6,2573
334,5,4,0
538,6,0,0
488,6,1,8
572,6,1,0
2,5,3,0
511,2,2,0
1,1,1,0
6,0,5,0
372,7,7,17
373,5,6,22
77,7,1,0
118,4,7,27
292,2,2,64
703,0,0,35
49,3,5,34
687,3,5,0
276,5,3,0
574,4,5,487
727,0,0,250
323,7,7,0
199,0,6,0
126,7,2,0
168,1,7,53
721,5,0,0
449,2,7,45
634,0,2,0
182,7,1,0
410,4,6,419
25,1,0,0
615,6,1,0
500,7,3,0
286,4,0,9
216,2,6,80
441,5,7,0
209,4,0,8
431,0,3,118
241,4,4,58
625,0,2,67
19,5,5,194
48,6,7,3
523,3,1,38
467,2,6,0
582,7,5,0
707,6,1,0
342,3,3,64
535,1,6,9
487,4,0,0
578,3,5,440
528,4,2,0
99,5,4,0
531,3,7,65
271,0,1,0
113,4,6,56
67,6,5,186
328,2,6,119
488,4,3,50
640,3,6,49
651,0,2,71
190,4,5,43
700,7,3,0
372,3,0,0
210,0,1,0
22,6,7,8
285,3,2,0
198,3,2,5
168,3,2,19
212,5,1,16
572,4,1,10
548,4,7,135
403,2,0,0
614,4,6,28
653,1,7,90
155,2,1,0
718,3,3,112
289,0,5,9
258,3,6,80
644,5,2,0
371,6,0,0
231,3,6,21
288,3,6,34
70,6,7,27
297,5,5,0
233,2,1,0
445,4,2,0
391,0,7,37
305,7,3,0
356,7,6,98
594,5,7,105
118,7,6,6
665,5,1,0
387,5,1,0
706,1,2,69
628,2,5,97
627,7,6,37
533,3,7,49
479,0,7,255
501,5,7,109
256,7,0,0
308,7,2,0
646,4,4,213
547,4,0,0
372,4,5,17
427,5,6,87
240,1,4,9
730,5,5,45
386,0,4,112
268,0,1,5
646,3,0,0
198,4,0,0
507,0,1,9
507,3,5,190
608,7,2,0
123,0,0,13
660,5,0,0
465,3,1,0
442,0,6,20
394,0,3,0
121,5,6,13
397,3,2,18
66,3,1,15
474,4,7,34
385,0,2,18
447,4,1,0
385,4,5,142
196,3,5,12
111,5,2,0
287,2,3,126
573,6,0,0
377,2,5,188
701,0,2,99
328,2,0,6
632,5,3,0
125,6,1,0
256,0,5,36
193,7,7,0
181,3,2,4
308,7,1,0
561,6,3,0
164,6,0,0
539,5,1,9
48,7,7,0
38,6,7,18
190,5,6,19
236,4,2,0
305,1,0,0
341,2,0,0
249,6,7,0
403,5,7,11
291,0,5,0
565,2,1,0
437,4,0,0
330,6,6,0
288,6,1,25
92,2,2,67
392,4,7,0
623,6,6,28
627,4,7,37
479,3,5,379
350,4,0,0
458,0,3,90
616,7,0,0
152,4,6,30
669,4,0,0
636,0,1,19
21,4,5,77
584,0,1,0
587,1,3,0
226,6,0,0
199,4,5,5
537,2,7,15
33,2,6,221
201,6,4,0
210,0,5,154
368,2,5,0
391,1,2,7
578,5,0,0
240,0,1,17
537,6,2,0
199,3,2,0
163,2,7,343
546,4,4,40
603,4,5,128
407,2,4,108
139,6,1,0
508,3,4,29
720,4,5,141
671,1,4,31
497,7,7,59
541,0,4,49
423,7,6,7
359,1,7,222
223,6,7,13
644,6,6,11
653,0,6,31
100,3,3,4
561,0,4,0
175,6,1,0
25,6,5,14
127,0,6,0
591,5,4,17
194,7,2,0
674,5,5,86
477,0,2,69
650,5,5,51
317,5,3,6
632,6,3,19
422,0,2,87
324,4,6,0
621,0,2,36
26,4,0,0
321,4,3,0
39,1,1,3
560,1,5,0
65,4,1,51
197,6,5,5
335,3,2,16
504,6,0,0
698,6,6,112
627,3,5,127
36,0,0,11
162,5,3,4
179,5,3,0
148,6,4,0
121,6,4,0
662,1,6,133
161,0,3,84
717,0,1,0
636,5,3,0
423,5,3,7
291,7,3,0
534,6,7,0
570,3,1,0
417,4,1,0
180,4,1,4
351,6,2,0
367,0,2,0
709,0,3,22
47,6,4,9
360,4,7,39
170,7,2,0
533,6,2,0
714,1,3,0
587,3,5,10
166,3,1,4
722,5,3,14
142,7,3,0
289,6,0,0
355,5,3,17
283,3,6,41
493,7,3,0
406,1,4,227
402,6,6,7
530,1,4,25
79,3,5,0
74,4,3,12
277,3,2,9
566,1,3,126
727,7,6,95
526,2,5,670
588,1,1,0
134,5,1,0
579,0,2,71
460,4,0,0
26,7,4,0
490,6,3,0
170,5,5,0
707,0,7,125
83,0,5,607
462,1,5,56
385,1,6,335
360,5,5,50
465,4,2,0
109,7,2,0
559,6,3,0
694,7,6,21
307,1,2,83
648,5,5,122
51,5,2,12
515,7,2,0
52,4,2,0
530,2,3,129
143,4,4,35
44,2,6,1774
505,1,0,0
10,7,4,0
598,4,2,0
728,6,6,200
46,3,1,3
420,5,3,7
531,0,3,55
621,2,0,0
582,2,3,27
33,5,0,0
654,2,1,12
679,3,6,12
218,4,3,26
197,1,3,8
266,4,6,52
251,0,7,0
487,2,0,0
534,5,5,15
473,0,2,27
566,4,3,32
402,1,4,18
480,2,2,72
677,0,2,33
418,6,7,0
588,2,7,27
347,4,5,17
181,6,1,0
44,3,2,9
176,2,2,0
220,0,0,8
227,1,2,5
361,7,1,0
340,0,7,48
363,6,7,17
377,2,7,39
182,3,5,31
545,5,1,0
60,6,2,0
484,1,5,28
333,4,7,46
172,1,2,7
325,2,5,164
651,1,1,12
688,4,3,41
731,5,7,236
377,6,7,17
221,2,3,21
596,4,0,0
185,4,0,0
351,2,7,146
494,6,6,8
171,7,0,0
211,5,0,0
160,7,5,11
150,5,4,0
187,6,2,0
363,2,1,7
183,4,2,0
370,4,0,0
515,3,4,23
280,6,5,108
93,6,4,79
370,0,5,0
527,4,3,85
713,1,5,22
433,4,3,91
659,2,6,0
265,7,2,0
617,1,7,46
724,5,1,0
215,1,5,154
207,7,2,0
308,2,3,79
165,1,5,380
500,1,4,59
405,5,2,7
151,6,0,0
517,3,4,237
629,2,3,97
299,5,2,0
665,2,1,0
697,6,7,471
280,1,2,23
46,3,3,20
666,6,1,0
213,3,4,73
32,4,0,0
84,3,2,57
310,1,6,451
239,2,3,29
367,0,3,0
55,4,0,0
396,3,7,0
293,4,1,9
225,2,7,5
421,5,0,7
256,1,5,89
624,7,3,11
524,0,5,161
248,7,1,0
182,4,7,31
527,0,7,199
718,1,3,212
299,4,0,0
299,2,2,6
614,1,6,36
514,7,4,9
577,5,6,176
405,5,5,78
163,5,5,44
284,4,1,14
335,6,6,36
371,6,4,0
597,5,1,0
601,0,3,103
241,5,7,14
371,4,0,0
161,0,6,439
388,2,3,30
504,5,5,53
146,3,3,51
627,1,4,30
619,7,4,28
159,4,4,18
11,2,4,483
177,1,0,0
495,0,4,100
139,2,6,1522
88,4,1,10
425,2,5,149
282,7,6,47
581,5,7,34
145,6,4,11
481,7,3,8
120,3,5,46
637,4,1,19
259,4,0,0
376,2,5,164
372,0,1,0
102,0,3,4
465,4,7,0
461,6,6,0
586,3,0,0
224,1,1,0
202,7,3,5
184,0,0,0
84,3,6,344
2,1,6,0
405,7,1,0
335,6,5,6
708,2,6,91
195,2,2,28
322,0,2,0
580,3,3,27
202,3,6,8
662,4,6,71
603,6,1,11
386,6,6,11
408,1,6,1107
244,6,3,0
456,3,1,0
262,1,0,5
205,3,0,0
649,3,6,184
187,7,5,15
705,7,6,13
699,5,5,112
335,6,0,0
344,7,3,0
306,0,4,55
169,4,4,53
139,0,1,0
695,3,7,66
446,1,5,33
552,7,1,0
599,4,5,203
159,4,3,11
103,4,4,13
634,2,5,0
588,0,3,54
336,5,6,372
226,5,4,0
56,3,7,64
622,6,1,0
209,2,4,101
586,5,6,0
610,0,5,0
280,6,3,0
707,6,0,0
511,0,6,15
443,2,4,0
475,5,6,146
338,0,1,6
354,6,5,27
122,4,6,0
75,1,2,4
202,5,7,0
596,0,7,274
580,3,7,34
416,0,2,0
441,7,2,0
602,1,6,196
350,5,1,0
533,6,4,15
708,6,4,22
123,5,3,0
460,2,5,34
69,0,4,109
546,5,4,25
340,7,3,17
332,6,3,0
624,2,3,134
642,1,7,49
553,2,6,461
352,6,0,0
376,5,3,74
391,5,7,7
302,3,7,55
645,0,7,67
579,7,5,27
134,7,2,0
652,5,0,0
578,0,5,149
693,6,3,0
61,3,6,75
87,2,0,0
221,4,4,21
645,0,4,49
251,1,2,36
516,3,3,29
480,1,6,443
87,0,1,6
318,5,2,10
385,6,6,0
287,3,4,29
519,4,7,91
14,2,6,147
726,5,6,554
334,1,7,139
619,6,4,57
165,0,1,44
113,5,5,40
296,2,1,0
53,1,4,0
183,7,3,0
483,2,2,0
646,7,4,0
93,0,5,69
12,3,3,85
9,2,1,0
542,4,7,25
413,2,3,24
551,5,4,31
276,2,2,5
371,7,1,0
560,1,6,10
362,7,4,28
517,0,6,47
107,7,4,0
223,0,6,0
72,6,5,6
301,7,1,0
105,4,5,20
17,7,7,3
276,4,2,0
461,7,4,0
503,6,1,0
334,5,6,170
182,6,7,4
365,0,2,46
344,0,0,0
567,6,2,0
484,1,0,0
597,3,4,105
95,4,0,0
371,0,1,0
506,4,1,0
668,3,5,204
99,6,0,0
655,0,2,31
664,3,4,71
70,5,6,54
705,5,6,99
53,3,7,0
135,2,2,70
653,4,6,63
151,6,5,0
340,3,1,6
693,4,0,0
510,5,0,0
390,5,2,0
379,7,0,0
353,3,1,6
397,7,0,0
43,0,4,143
152,3,0,0
444,1,2,13
262,1,2,186
430,2,5,168
114,7,6,0
702,7,4,0
352,4,0,0
514,7,3,0
294,1,2,19
597,7,4,17
182,5,4,7
416,2,6,7
263,6,7,14
637,0,4,11
62,7,3,0
283,3,5,61
322,1,5,20
534,2,4,0
601,1,1,11
364,6,5,22
322,4,4,6
80,0,1,4
287,7,3,0
252,3,3,36
657,4,0,0
518,6,1,0
318,4,2,0
628,3,2,30
564,4,0,0
340,2,2,27
586,2,5,17
53,6,2,0
418,2,4,0
444,5,3,0
657,5,6,0
631,6,4,0
486,6,6,8
473,1,5,199
95,0,7,47
607,0,7,28
127,0,2,11
544,2,2,31
339,3,4,44
58,1,5,681
532,1,5,65
270,0,2,0
430,2,4,94
156,3,0,0
328,2,2,16
336,3,7,44
450,0,2,20
220,6,3,5
712,2,3,13
63,4,3,9
418,6,3,0
29,3,2,9
676,6,0,0
189,4,0,7
323,6,6,0
144,2,5,25
176,2,0,0
518,6,2,0
415,7,3,19
101,0,2,0
725,3,2,59
459,4,7,27
137,3,3,31
135,4,3,11
678,6,6,0
139,6,4,13
499,0,7,173
546,1,7,160
659,0,6,0
71,1,5,87
461,0,6,34
374,0,7,103
550,5,5,375
5,0,3,3
245,2,5,5
117,4,4,27
382,7,1,0
286,3,6,52
200,0,3,0
551,2,1,15
90,7,1,0
231,1,1,5
483,4,7,8
7,7,4,0
553,6,4,10
433,5,0,0
306,7,2,0
269,1,7,0
592,7,3,10
64,6,1,0
392,3,6,0
397,4,0,7
17,7,4,14
322,3,5,6
523,0,1,85
230,6,2,0
504,3,4,176
367,2,2,11
262,7,3,0
345,5,2,27
310,2,3,83
471,0,4,138
308,3,1,0
14,5,3,0
68,2,2,57
342,1,7,27
516,7,0,0
65,5,4,19
657,0,5,0
22,4,4,36
647,1,4,108
168,0,0,19
393,2,5,7
370,5,2,0
435,6,1,0
201,5,1,0
481,6,2,14
4,2,1,0
550,0,1,31
150,7,5,0
665,2,7,192
599,0,4,115
11,5,1,0
104,1,7,13
417,4,3,0
108,0,3,17
626,5,1,0
47,0,5,18
616,0,1,11
83,7,5,38
646,1,6,49
138,2,2,46
599,2,5,193
619,5,3,28
501,5,0,0
354,6,3,0
35,5,3,11
219,2,2,13
484,7,5,0
545,1,5,144
375,2,0,0
51,1,2,3
526,1,0,9
338,6,4,0
440,1,3,13
245,5,2,0
36,7,1,0
236,6,6,5
420,4,3,12
461,0,3,34
621,7,0,0
484,2,5,59
537,5,6,0
326,1,7,148
668,4,4,39
487,7,7,0
35,6,2,0
237,2,5,55
726,1,2,250
362,1,6,227
171,1,1,0
94,1,4,28
68,6,6,184
22,5,2,5
678,2,4,21
120,3,4,28
564,2,4,52
679,0,3,41
725,5,7,250
493,2,2,131
466,0,6,0
393,7,5,0
307,0,6,211
662,7,5,31
8,0,0,30
301,7,3,0
59,4,7,120
522,6,1,0
596,1,4,71
449,2,0,0
125,4,5,13
446,1,3,66
40,3,1,11
378,0,4,68
18,7,6,74
590,6,1,0
521,6,0,0
64,4,3,27
230,4,5,55
500,7,5,8
287,1,5,18
138,3,0,7
41,0,6,344
711,4,3,0
575,5,3,10
157,6,6,11
0,6,1,0
684,0,2,128
47,4,0,0
503,7,7,28
327,7,6,42
431,3,7,43
227,0,4,0
395,5,0,0
530,6,3,49
18,7,1,0
219,3,2,5
630,3,1,0
542,1,7,135
73,5,6,4
273,3,0,0
517,3,3,76
593,3,4,203
509,1,4,15
326,2,1,0
463,7,0,0
492,6,3,0
221,6,1,0
167,2,7,146
330,3,3,36
673,6,5,12
674,0,0,12
32,7,0,0
160,6,0,0
365,1,2,28
526,1,7,176
191,6,4,7
388,5,4,30
668,0,6,318
683,1,2,12
233,1,3,47
544,1,1,0
710,6,2,0
299,0,7,15
687,6,1,0
33,6,6,0
98,2,3,13
202,6,0,0
515,4,2,0
235,7,1,0
507,4,0,0
65,3,6,758
420,7,5,0
346,3,7,0
564,0,1,0
269,0,7,23
457,4,3,61
485,4,6,64
364,4,3,46
584,5,2,0
583,2,0,0
480,6,7,72
34,7,2,0
100,7,7,0
673,4,3,173
200,4,1,12
160,3,2,30
447,6,4,8
321,4,6,0
484,3,5,86
11,6,7,3
455,2,4,86
27,4,4,6
605,6,0,0
342,5,3,0
213,7,2,5
237,1,1,5
151,4,7,4
537,5,7,0
603,7,0,0
589,4,6,132
16,1,6,213
487,0,1,0
256,4,2,0
244,0,7,5
123,2,6,11
593,1,6,132
159,3,5,567
572,4,4,116
549,2,6,574
240,5,4,0
304,1,5,92
202,5,6,0
242,4,7,22
250,4,0,0
539,1,2,9
586,3,4,0
523,2,1,0
292,3,5,98
570,4,3,68
344,0,7,0
182,0,1,4
421,1,1,0
429,2,5,156
257,5,3,0
246,5,4,0
23,3,6,49
518,5,3,0
511,3,6,15
535,6,7,0
545,3,7,71
15,6,0,0
48,5,5,27
601,7,3,0
367,1,1,7
99,6,3,0
515,2,7,0
470,7,3,8
246,7,3,0
226,7,1,0
558,7,1,0
33,5,7,158
502,3,2,22
513,1,2,0
174,6,3,0
382,3,4,92
624,6,0,0
350,1,0,0
611,4,6,0
251,0,5,5
210,3,7,45
614,1,5,75
70,6,6,9
325,1,4,87
50,0,3,6
429,4,7,63
159,6,6,44
490,6,4,0
481,0,3,59
498,4,0,22
403,0,0,0
244,4,5,9
110,4,3,27
234,2,2,5
300,5,5,25
154,7,1,0
711,4,1,0
92,6,7,79
7,4,0,0
228,4,4,5
358,1,2,37
290,7,4,0
652,0,1,0
201,0,6,0
461,1,5,34
279,3,2,14
227,3,6,0
142,4,5,129
523,0,0,67
316,0,6,87
419,4,3,7
488,3,5,0
103,1,3,0
470,1,2,61
377,4,3,28
470,6,4,0
697,2,6,428
120,4,2,0
410,0,5,195
507,4,2,0
66,6,5,94
44,1,3,80
684,1,2,41
668,0,5,192
113,5,6,46
615,2,6,64
135,1,1,4
72,0,0,0
434,1,2,53
276,7,1,0
583,6,7,17
697,7,0,0
98,4,5,23
485,0,6,64
525,7,1,0
290,6,1,0
365,1,6,7
405,0,7,484
320,4,1,0
467,7,4,0
97,5,4,6
347,0,2,6
500,6,2,0
28,4,1,3
466,5,5,0
309,4,7,43
257,4,7,27
628,7,0,0
471,3,4,61
625,2,0,0
84,6,1,0
51,3,1,3
427,1,7,149
299,3,0,0
410,2,3,164
398,7,2,0
213,6,4,28
715,0,0,43
609,2,5,0
243,6,4,17
3,7,2,0
512,6,6,0
693,3,6,247
537,3,7,0
276,3,0,0
508,3,3,9
400,2,3,71
651,0,0,12
318,3,1,6
239,4,6,26
83,1,6,148
70,4,0,3
270,2,5,0
14,3,1,19
498,3,2,45
274,1,2,5
205,5,0,0
339,6,6,10
343,7,1,0
36,0,7,424
125,3,4,0
494,3,4,72
329,7,2,32
602,2,1,0
320,5,4,0
349,4,0,6
389,7,2,0
657,5,7,0
679,1,6,12
624,0,7,116
28,7,7,0
46,5,4,18
669,0,2,51
206,6,5,16
97,6,5,13
493,5,2,14
408,4,7,243
658,6,4,12
232,1,3,68
313,1,7,97
58,5,2,3
682,1,4,12
559,7,4,0
689,6,5,0
360,0,6,930
729,7,7,23
466,6,6,0
353,6,4,6
421,6,0,0
365,2,4,7
305,3,3,55
48,3,1,6
234,4,1,8
548,6,6,89
673,1,1,0
272,5,1,0
151,7,2,0
631,3,2,0
305,6,3,0
283,4,4,41
231,0,2,13
411,5,1,0
121,5,2,0
692,0,0,0
596,2,3,149
626,2,4,116
67,2,4,147
25,5,5,14
294,6,4,0
706,4,5,91
596,0,5,61
669,1,1,0
89,5,2,6
477,4,0,0
97,1,6,6
301,7,0,0
694,7,4,21
193,5,5,81
412,4,4,51
124,1,2,0
79,6,6,0
5,4,7,0
417,2,5,7
194,4,1,8
587,4,6,0
89,1,4,28
207,1,2,93
188,3,7,31
108,2,1,0
546,6,1,0
312,0,4,83
591,6,3,0
179,2,4,0
596,0,1,27
260,5,3,14
483,6,1,0
70,3,5,427
18,2,5,434
680,7,1,0
342,7,3,0
489,3,4,0
35,7,1,0
28,6,6,0
523,3,4,67
628,0,5,49
706,5,5,43
421,6,1,0
94,2,3,75
389,5,6,11
477,7,5,0
396,3,3,7
473,2,2,48
521,2,3,152
208,2,4,154
222,1,3,8
519,4,6,38
221,2,6,0
40,6,2,9
528,3,5,584
81,2,4,91
701,2,3,147
464,4,3,48
597,6,6,71
651,5,1,0
213,5,3,25
449,4,6,13
167,4,0,0
671,3,3,102
548,2,1,0
159,7,1,0
367,1,7,7
264,3,7,23
422,5,5,31
727,0,4,635
483,4,2,0
582,0,7,71
524,7,0,0
370,2,6,0
416,6,5,0
611,1,2,0
641,5,1,0
534,6,2,0
238,0,0,5
703,7,0,0
207,4,1,8
575,2,0,10
679,1,0,0
250,1,2,9
181,5,6,4
560,2,5,0
293,3,2,0
114,4,5,33
28,2,1,0
104,3,1,0
584,6,7,0
360,3,6,539
411,3,0,0
52,1,0,0
95,1,7,44
622,5,6,11
569,4,0,0
53,1,7,0
569,2,6,268
305,0,0,6
706,2,3,78
652,2,4,51
498,7,4,8
390,7,3,0
234,2,3,47
668,2,5,204
716,1,5,428
386,2,2,48
101,6,6,0
328,1,6,77
351,4,4,54
286,6,7,9
149,2,7,0
320,3,0,0
260,6,5,17
715,7,3,0
287,3,1,9
317,2,3,20
385,2,4,78
367,4,5,7
348,4,1,6
372,1,3,114
485,0,1,8
559,0,3,10
553,3,0,16
683,2,3,12
720,1,6,200
61,2,3,147
127,3,1,0
212,6,2,0
372,7,0,0
117,0,3,83
221,5,2,0
102,1,0,0
335,3,6,422
394,4,1,0
389,5,5,41
496,3,0,0
720,3,2,14
24,3,3,32
558,3,3,16
629,4,3,175
610,7,3,0
250,0,5,0
240,7,2,0
597,1,5,166
13,2,6,159
583,3,1,0
128,7,7,0
345,1,7,0
575,0,5,722
523,5,4,29
610,3,7,0
364,5,5,63
727,3,3,1039
47,3,2,0
9,1,1,0
557,3,2,16
680,2,6,12
545,0,4,89
394,5,7,0
588,6,0,0
693,4,1,12
633,7,6,0
0,6,2,0
442,6,0,0
611,0,4,11
436,7,5,0
321,2,1,0
470,4,7,27
389,7,5,18
570,1,2,58
476,7,1,0
329,5,7,16
685,1,7,375
611,5,0,0
190,4,1,12
528,6,0,0
502,1,3,153
354,7,7,10
306,0,0,0
370,2,7,0
382,4,5,153
567,7,3,0
616,3,5,167
558,4,1,0
710,4,4,22
667,6,3,0
106,1,2,13
229,7,3,0
445,7,4,0
290,6,4,0
114,0,5,37
385,3,0,11
562,2,3,10
19,6,1,0
409,2,7,75
42,1,6,1955
325,3,1,42
157,1,0,0
168,2,0,0
539,2,1,0
334,2,1,10
711,0,6,0
47,1,3,52
727,6,3,82
236,7,3,0
356,5,4,10
394,0,7,11
692,0,5,0
89,7,0,0
205,1,3,61
552,7,0,0
416,6,4,0
15,3,3,44
609,7,7,0
50,2,2,12
469,2,5,194
354,0,5,81
368,2,4,7
22,0,3,30
505,0,4,85
592,0,5,98
166,2,6,1376
269,7,3,0
699,0,4,203
73,4,5,16
129,3,2,28
534,7,4,0
601,0,5,167
721,3,0,0
698,6,4,69
372,0,7,50
592,5,3,0
490,6,2,0
359,0,2,54
137,6,6,70
495,7,7,28
10,5,1,3
128,2,3,94
536,1,6,0
706,1,0,0
16,5,1,5
264,6,1,0
241,4,3,44
566,1,5,219
230,3,7,13
250,1,3,14
709,5,2,0
624,6,3,0
647,6,5,86
646,4,6,67
27,0,5,3
456,1,7,77
410,1,4,82
429,6,5,31
317,3,7,36
60,4,7,66
227,0,2,5
513,4,4,0
718,3,1,22
471,1,7,111
35,7,6,0
311,3,6,545
359,7,0,0
365,3,6,107
470,4,3,56
696,1,4,22
520,7,7,38
142,5,2,11
503,2,3,95
560,0,1,0
387,2,2,48
21,3,6,265
177,4,4,4
36,5,5,118
233,2,0,0
540,6,5,9
499,2,5,195
504,2,7,143
471,3,5,96
387,7,5,18
131,3,2,52
565,0,6,135
606,0,0,11
342,3,7,6
124,7,6,0
640,7,2,0
725,2,6,4175
705,1,3,212
193,1,6,28
402,3,7,30
49,5,7,42
478,0,6,302
39,6,3,18
121,6,2,4
209,3,2,25
182,7,6,4
109,1,3,40
451,2,7,73
396,3,6,11
76,6,3,0
105,3,0,0
672,6,3,41
415,7,5,0
242,1,2,5
96,4,1,6
55,1,4,3
270,7,0,0
68,5,2,3
452,2,5,58
605,1,3,121
485,7,0,0
241,3,6,31
396,0,6,11
522,2,0,0
438,1,5,40
164,4,0,0
555,1,6,135
150,5,7,0
445,6,0,0
678,0,0,0
663,1,3,388
528,7,3,0
95,2,0,0
139,1,4,31
101,1,3,0
152,4,4,25
600,2,6,306
488,5,2,0
238,6,2,0
323,5,6,0
487,0,4,8
414,0,6,12
701,4,4,99
658,0,1,0
578,2,7,88
318,0,3,16
118,2,2,40
591,7,5,17
276,4,1,5
226,6,6,0
264,0,7,75
540,1,3,31
635,6,5,0
536,1,7,9
572,2,0,0
449,7,3,0
258,7,2,0
649,2,2,71
158,4,5,263
661,1,3,172
581,6,5,10
116,6,1,0
674,7,2,0
251,7,4,0
269,6,7,29
626,4,0,0
517,1,6,38
535,3,1,0
212,1,7,93
77,5,0,0
501,6,5,50
603,2,5,196
258,3,5,58
658,1,4,0
625,6,7,30
345,0,0,0
88,4,0,0
315,5,0,0
305,1,4,9
175,7,1,0
237,2,2,34
576,0,0,17
351,0,0,21
591,2,6,274
281,3,6,18
333,7,5,6
199,3,3,0
237,3,5,50
400,3,5,156
147,1,1,0
287,3,0,0
521,4,2,0
217,3,7,34
108,6,6,6
625,6,5,97
555,2,0,0
410,3,6,395
30,2,1,0
56,1,0,9
35,0,2,77
329,2,5,103
325,3,7,10
699,6,6,147
68,4,3,169
602,3,5,295
605,5,2,0
